step,sequence_id,pos_in_seq,input_id,seen_in_run,seen_global,active_cells,predicted_cells,tp,fp,fn,precision,recall,f1,active_columns,bursting_columns,sparsity_cells,sparsity_columns,stability_overlap_last,stability_jaccard_last,stability_jaccard_ema,stability_best_window,stability_worst_window,converged,unique_active_cells_ever,unique_active_columns_ever
74,seq0,2,C,19,19,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.625,0.6,0.3793103448275862,0,4350,435
75,seq0,3,D,19,19,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.8604651162790697,0.3793103448275862,0,4360,436
76,seq0,0,A,20,20,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.85,0.9047619047619048,0.5384615384615384,0,4370,437
77,seq0,1,B,20,20,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.725,0.7777777777777778,0.40350877192982454,0,4370,437
78,seq0,2,C,20,20,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,300,0.6,0.625,0.6666666666666666,0.3793103448275862,0,4370,437
79,seq0,3,D,20,20,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.3793103448275862,0,4380,438
80,seq0,0,A,21,21,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.8604651162790697,0.5094339622641509,0,4380,438
81,seq0,1,B,21,21,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.775,0.7391304347826086,0.42857142857142855,0,4390,439
82,seq0,2,C,21,21,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.625,0.6,0.3333333333333333,0,4410,441
83,seq0,3,D,21,21,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.3793103448275862,1,4410,441
84,seq0,0,A,22,22,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.5094339622641509,0,4410,441
85,seq0,1,B,22,22,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.775,0.7777777777777778,0.40350877192982454,0,4430,443
86,seq0,2,C,22,22,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.625,0.5686274509803921,0.3559322033898305,0,4430,443
87,seq0,3,D,22,22,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.8604651162790697,0.40350877192982454,1,4430,443
88,seq0,0,A,23,23,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.5094339622641509,1,4430,443
89,seq0,1,B,23,23,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.775,0.7777777777777778,0.40350877192982454,0,4450,445
90,seq0,2,C,23,23,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.625,0.6,0.3333333333333333,0,4450,445
91,seq0,3,D,23,23,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.42857142857142855,1,4450,445
92,seq0,0,A,24,24,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.5384615384615384,1,4470,447
93,seq0,1,B,24,24,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.775,0.7777777777777778,0.3793103448275862,0,4480,448
94,seq0,2,C,24,24,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.625,0.5686274509803921,0.3559322033898305,0,4480,448
95,seq0,3,D,24,24,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.3793103448275862,1,4480,448
96,seq0,0,A,25,25,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.925,0.9047619047619048,0.5094339622641509,1,4490,449
97,seq0,1,B,25,25,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.775,0.8181818181818182,0.42857142857142855,0,4500,450
98,seq0,2,C,25,25,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.625,0.5686274509803921,0.3793103448275862,0,4510,451
99,seq0,3,D,25,25,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.3793103448275862,1,4510,451
100,seq0,0,A,26,26,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.925,0.9047619047619048,0.5094339622641509,1,4520,452
101,seq0,1,B,26,26,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,350,0.7777777777777778,0.775,0.7777777777777778,0.42857142857142855,0,4530,453
102,seq0,2,C,26,26,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.625,0.6,0.3333333333333333,0,4530,453
103,seq0,3,D,26,26,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.9,0.9047619047619048,0.42857142857142855,1,4540,454
104,seq0,0,A,27,27,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,390,0.9512195121951219,0.925,0.9512195121951219,0.5094339622641509,1,4540,454
105,seq0,1,B,27,27,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,350,0.7777777777777778,0.775,0.7777777777777778,0.3793103448275862,0,4550,455
106,seq0,2,C,27,27,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.625,0.6326530612244898,0.3333333333333333,0,4550,455
107,seq0,3,D,27,27,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.9,0.9047619047619048,0.3793103448275862,1,4550,455
108,seq0,0,A,28,28,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9047619047619048,0.5094339622641509,1,4560,456
109,seq0,1,B,28,28,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.775,0.8181818181818182,0.40350877192982454,0,4560,456
